"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","parsimony.score.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","parsimony.score.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"68","random_55_taxa","Pectis_RandomTwin",0.0195704754218912,0.0436855176737717,39,16,55,105,1810.384383,12,0.031676699501605,0.696586334247923,0.14748635297502,0.275126518857318,3.92159264698526,3.92159264698526,0,2.93062611708137,131.399673296779,2.47759658711519,0.210009845626435,0.114526363816972,0
"22","genus","Pimpinella",0.0227278892759883,0.0460016297482223,48.5,7.5,56,27.195876,264.469925,4,0.0383369928252952,0.659534427058847,0.0737827928382751,0.703008649403129,15.9094660850423,15.9094660850423,0,0,0,2.30204125492875,0.376088786645495,0.364460974185061,1
"69","random_56_taxa","Pimpinella_RandomTwin",0.0213830362826026,0.0536560504073866,39,17,56,104.999999,1842.198641,13,0.0389021731147513,0.68960524441017,0.313299544397258,0.485581277534178,4.89414203539561,4.89414203539561,0,3.07044556147918,140.82089167585,2.72532085035391,0.390478123161049,0.0911778025178136,0
"43","family","Pittosporaceae",0.0218765352348559,0.0521493712917151,45,19,64,46.605784,681.487404,8,0.0374275248975351,0.691270222513103,0.030021602279349,0.379442543532114,9.05142993335218,9.05142993335218,0,0,0,2.7816135133001,0.200720969219033,0.220724121483367,0
"90","random_64_taxa","Pittosporaceae_RandomTwin",0.021327882132688,0.0530057788338002,45,19,64,104.999999,2008.407667,14.5,0.0369229445525766,0.70064891209265,1.01671970238019,3.41903500560663,5.09112914387329,5.09112914387329,0,3.00595981434921,151.050110669786,3.32963431122168,2.21459791300425,0.155822338721955,0
"23","genus","Polyscias",0.0179218416341103,0.0399479890560659,78,16,94,11.675323,342.659776,7,0.0270834790245107,0.683911115529718,0.0568581756192589,0.23177839093608,27.016753126439,27.016753126439,0,0,0,3.61605566686391,0.122456759876251,0.374699139993104,0
"70","random_94_taxa","Polyscias_RandomTwin",0.0222469005875937,0.0516144217428459,67,27,94,105,2657.013125,19.5,0.0377497338025869,0.706965559133889,0.563426334303115,0.993929163997289,5.91365480319177,5.91365480319177,0,2.57280699645061,158.075495062649,3.6793719270791,0.778546621915972,0.0640787212311551,0
"24","genus","Saussurea",0.0193598609323196,0.044181537634429,107,8,115,23.59177,291.51347,5,0.031331294018014,0.759653031374067,0.0259188255055982,0.646242304687107,38.2362816226059,38.2362816226059,0,0,0,3.19842132776453,0.330466164327043,0.375304106716878,1
"71","random_115_taxa","Saussurea_RandomTwin",0.019787751395263,0.0448046780443523,81,34,115,105,3005.9164265,24,0.0329132620237586,0.700475410899041,0.0262661147517244,0.107033393735435,7.59783993758566,7.59783993758566,0,1.95279942344752,190.680645741692,4.32451316813976,0.0659970128183025,0.0592514920127254,0
"25","genus","Scaevola",0.0224292323122936,0.0470009082141697,52.5,14.5,67,32.295172,375.157021,6.5,0.0404230947781544,0.696622635313122,0.631048657329352,10.0954204510298,15.3271759705538,15.3271759705538,0,0,0,3.07303357507453,5.36135987623988,0.318744979318459,1
