"","median.avg.rate","sd.avg.rate","ntax","sims.with.variation","median.fraction.rate.01"
"Gaillardia",0.0499246420262122,1.46089649574736,17,57,0.169789692412024
"Pentzia",0.0299971762188888,4.99078129030876,17,59,0.65589813823142
"Pseudognaphalium",0.212706985017309,1.28538054148176,17,21,0.0639590402505299
"Brachyglottis",0.191875895226204,8.75360720017426,16,62,0.096637045102239
"Calotis",0.0895877805162734,2.84304141462552,16,47,0.187499842800367
"Deinandra",0.0412546080912412,0.902257407275056,16,51,0.252078146228809
"Espeletiopsis",0.201383239764886,1.09402446844479,16,24,0.143400762103773
"Euchiton",0.118594553510626,5.32930478939122,16,48,0.0881023419490348
"Lasthenia",0.0335313857856079,0.715017615135895,16,71,0.322990876862274
"Lychnophora",0.158987943255802,1.08605592487029,16,49,0.0715467602106893
"Prionosciadium",0.0319807782622066,4.15223808669272,16,57,0.622740055372185
"Roldana",0.0508763923761017,1.26006612463911,16,67,0.318362827007042
"Sambucus",0.0528200822192104,4.98277305397943,16,74,0.313935502047465
"Antennaria",0.0954499539431941,0.820317007315403,15,34,0.151759177245359
"Carduus",0.0610176977119012,0.850527185212296,15,32,0.782371004320112
"Chuquiraga",0.0399846246508565,7.19083503963271,15,49,0.478331053740069
"Clermontia",0.0596608721471659,1.14371942395439,15,33,0.824508605612198
"Cyananthus",0.0317883508970577,2.97175080764069,15,64,0.137361013287962
"Gazania",0.152911506346833,1.34476242003525,15,49,0.200002218351495
"Laserpitium",0.036956200105039,2.90208189764653,15,71,0.171858159489962
"Leontodon",0.0920597286250244,0.450001239964028,15,58,0.419264670960291
"Munnozia",0.0225558165225121,5.17988827724191,15,61,0.928497175784404
"Podolepis",0.0480410429478452,1.63870927581332,15,64,0.106858176361077
"Richterago",0.301841496782829,10.2361329244667,15,24,0.0736279513435319
"Tagetes",0.0668679961005673,0.300677254410632,15,67,0.162026548599818
"Conyza",0.0441282494732052,2.09060812666902,14,63,0.354531981789822
"Hedera",0.130917887391947,5.39276631741415,14,38,0.0962018322364109
"Mutisia",0.0408154724199427,0.400636533482303,14,67,0.379766873709043
"Pericallis",0.0817536546150335,0.548349457872049,14,40,0.640675186156361
"Pterocaulon",0.0359558819980539,0.819925305618102,14,42,0.175289437526819
"Alepidea",0.0589628250380645,1.49033378866804,13,24,0.83519491004053
"Chromolaena",0.0519030674077315,2.56918058043906,13,60,0.160751303995523
"Downingia",0.0694802705187295,0.233621152636442,13,48,0.339817498674903
"Microseris",0.375637490437791,1.55213981721292,13,29,0.190815965129659
"Osteospermum",0.0230371640348484,0.264449011038559,13,65,0.309828089666076
"Parasenecio",0.150879587868719,9.5189636811392,13,45,0.167388901279601
"Perideridia",0.0470155557936059,3.56409119253065,13,71,0.396837740615463
"Pilosella",0.183048012663974,1.03297368293865,13,31,0.0798535271770673
"Ptilostemon",0.204063268623256,0.754127605171251,13,51,0.765066389761596
"Raoulia",0.0657580265622988,0.79319518592358,13,40,0.087438667793796
"Rhodosciadium",0.160374632569531,8.68995563380252,13,47,0.164112899275787
"Smallanthus",0.0835213338645532,8.63834025858202,13,39,0.0969408259121372
"Stephanomeria",0.163851808528161,1.00342871782753,13,38,0.212197660114407
"Tephroseris",0.0682938162469951,0.662679360009514,13,37,0.0940036408835163
"Tolpis",0.0509265178282291,2.00887167127576,13,56,0.216363453519295
"Vittadinia",0.160924570107032,3.42304985843953,13,39,0.452253035222704
"Boopis",0.0368345054017868,1.14526012540777,12,83,0.33333332716117
"Cussonia",0.0940911654756422,3.48268591419683,12,31,0.16666807530177
"Donnellsmithia",0.0604820966801247,0.914042258787746,12,67,0.333333311855177
"Eleutherococcus",0.0419930597400774,0.33093161936651,12,44,0.414328973861167
"Encelia",0.435176403631496,7.52937505245739,12,22,0.686442102383056
"Hymenidium",0.0444277805666756,0.978108935426692,12,82,0.327165204592408
"Lessingia",1.74089858327509,2.2160806321485,12,6,0.509401029388165
"Liabum",0.27018981121265,5.27002273359388,12,34,0.439765583987448
"Macowania",0.0510735914570079,2.89935164135107,12,49,0.166951119389672
"Nabalus",0.0709891245733943,3.02910175724531,12,31,0.174329322318766
"Petasites",0.0228532675047934,2.16798566431214,12,56,0.3048109144225
"Ruilopezia",0.210621087647534,1.28003695251967,12,19,0.093251636379243
"Velleia",0.0686931492235671,0.264471645469634,12,67,0.362009845387453
"Amphiglossa",0.142458698985057,3.04289878665798,11,43,0.117523069328051
"Balsamorhiza",0.443587185857309,1.30636299504153,11,19,0.901576540246049
"Berzelia",0.0219400300994452,0.528764886574213,11,61,0.99999989370152
"Carpesium",0.0532840509598798,0.573222011069996,11,57,0.497701766603357
"Celmisia",0.0528713561504285,0.547799928721575,11,51,0.636068577824641
"Centella",0.030849187947973,0.652271529198722,11,50,0.189489554355779
"Chaptalia",0.109659736433841,2.91236981289758,11,64,0.12199359226567
"Gnaphalium",0.04511896083809,0.348869433023647,11,61,0.202330805078328
"Lilaeopsis",0.169708510427384,0.576342954282977,11,47,0.274606097775309
"Meryta",0.283836525318444,1.54769053846599,11,47,0.204926954365236
"Othonna",0.0456524839833406,0.316100253911129,11,57,0.27711768338647
"Packera",0.157470617819193,0.0637259150246317,11,7,0.999999991906107
"Pterocephalus",0.0796580418365304,2.33373828450249,11,70,0.356406100524183
"Roella",0.0398635171344101,0.36042893071428,11,61,0.295584239474144
"Sinclairia",0.0723219999804013,9.66839588625751,11,32,0.107478685358409
"Symphoricarpos",0.224289264121218,3.86826765099809,11,39,0.253017808797442
"Volutaria",0.29622062879471,7.21436007802518,11,28,0.892590681460997
"Youngia",0.0308295541201094,1.33333310287023,11,65,0.402816042485582
"Aciphylla",0.677974268441529,0.335579456208402,10,30,0.133220458368566
"Barnadesia",0.216320631238452,3.80733731590736,10,53,0.117970896686326
"Calendula",0.0679349490569597,1.09508071215525,10,32,0.86021405127364
"Carum",0.0575225856475509,2.9299499569129,10,66,0.346151185343661
"Centipeda",0.0514343625857323,5.58907251046163,10,31,0.900000012320056
"Cephalaria",0.231508909216302,0.254363398878547,10,59,0.220529636855128
"Gochnatia",0.199725051344286,9.92937103263827,10,31,0.150755308762566
"Lagenophora",0.0533617234279406,1.97196653815985,10,51,0.353045712962739
"Lomelosia",0.0304649517114541,2.96443557165747,10,63,0.475085387658122
"Moquiniastrum",0.0806975681424982,12.7184751589402,10,13,0.102085210952411
"Notobubon",0.0959135916751755,3.46342144014921,10,43,0.589118063425907
"Osmorhiza",0.0786052473063478,2.51996067995017,10,32,0.099999792074697
"Panax",0.0403428963530721,1.98410086970986,10,61,0.302159944990037
"Patrinia",0.0942386207204283,0.317492965387733,10,74,0.376878356425781
"Pternopetalum",0.0299935139415791,0.22055751223479,10,61,0.110808534047321
"Seseli",0.0387998546630059,4.68036921590894,10,50,0.267739560384491
"Sphaeranthus",0.0589916715017827,5.62658852008842,10,54,0.548571909404022
"Trichocline",0.0558417078173685,3.34789379626762,10,67,0.450173525056229
